,Mobility Profile
2016-01-05 14:00:00+00:00,0.009282761
2016-01-05 15:00:00+00:00,4475.9507886495385
2016-01-05 16:00:00+00:00,10792.681524951051
2016-01-05 17:00:00+00:00,14966.2109738443
2016-01-05 18:00:00+00:00,20902.394547950604
2016-01-05 19:00:00+00:00,5392.706399850064
2016-01-05 20:00:00+00:00,1854.8479427778916
2016-01-05 21:00:00+00:00,0.004256360000000007
2016-01-05 22:00:00+00:00,3173.176201059299
2016-01-05 23:00:00+00:00,1277.5816096104734
2016-01-06 00:00:00+00:00,1701.1504609472584
2016-01-06 01:00:00+00:00,0.014914199999999994
2016-01-06 02:00:00+00:00,2806.6787288597607
2016-01-06 03:00:00+00:00,1399.4843896669072
2016-01-06 04:00:00+00:00,1190.836477785372
2016-01-06 05:00:00+00:00,0.014323394000000012
2016-01-06 06:00:00+00:00,0.015399648000000012
2016-01-06 07:00:00+00:00,12422.54838272082
2016-01-06 08:00:00+00:00,19980.781507392305
2016-01-06 09:00:00+00:00,11039.47587167264
2016-01-06 10:00:00+00:00,22373.48748367729
2016-01-06 11:00:00+00:00,19005.657862804383
2016-01-06 12:00:00+00:00,6107.043683849531
2016-01-06 13:00:00+00:00,6451.916181158472
2016-01-06 14:00:00+00:00,931.9830946656162
2016-01-06 15:00:00+00:00,21166.049654312035
2016-01-06 16:00:00+00:00,15914.113089566878
2016-01-06 17:00:00+00:00,10630.719680440316
2016-01-06 18:00:00+00:00,4655.648180965952
2016-01-06 19:00:00+00:00,5477.090764052881
2016-01-06 20:00:00+00:00,661.0917506617554
2016-01-06 21:00:00+00:00,6405.519067188472
2016-01-06 22:00:00+00:00,4614.203428801362
2016-01-06 23:00:00+00:00,3592.8314766337994
2016-01-07 00:00:00+00:00,1335.6876723584314
2016-01-07 01:00:00+00:00,0.008727599999999999
2016-01-07 02:00:00+00:00,0.008737839999999998
2016-01-07 03:00:00+00:00,6790.956586392431
2016-01-07 04:00:00+00:00,20917.48093766598
2016-01-07 05:00:00+00:00,27962.13374417165
2016-01-07 06:00:00+00:00,10117.739804370907
2016-01-07 07:00:00+00:00,8040.696253793728
2016-01-07 08:00:00+00:00,7590.693251951804
2016-01-07 09:00:00+00:00,0.0065811875
2016-01-07 10:00:00+00:00,869.4622388799534
2016-01-07 11:00:00+00:00,4382.919043070212
2016-01-07 12:00:00+00:00,5336.945215071223
2016-01-07 13:00:00+00:00,0.007836975500000004
2016-01-07 14:00:00+00:00,2738.2514552458356
2016-01-07 15:00:00+00:00,3291.005227888855
2016-01-07 16:00:00+00:00,14015.994736207906
2016-01-07 17:00:00+00:00,17742.871965505816
2016-01-07 18:00:00+00:00,8062.971724640817
2016-01-07 19:00:00+00:00,16150.003783785965
2016-01-07 20:00:00+00:00,4980.629317421115
2016-01-07 21:00:00+00:00,8107.267174506927
2016-01-07 22:00:00+00:00,8594.405556659845
2016-01-07 23:00:00+00:00,0.0031970100000000006
