,Charging Profile
2016-01-01 01:52:00+00:00,62.70000000000002
2016-01-01 01:53:00+00:00,77.40000000000002
2016-01-01 01:54:00+00:00,77.40000000000002
2016-01-01 01:55:00+00:00,70.10000000000002
2016-01-01 01:56:00+00:00,55.500000000000014
2016-01-01 01:57:00+00:00,55.500000000000014
2016-01-01 01:58:00+00:00,62.800000000000026
2016-01-01 01:59:00+00:00,62.800000000000026
2016-01-01 02:00:00+00:00,70.10000000000002
2016-01-01 02:01:00+00:00,84.80000000000003
2016-01-01 02:02:00+00:00,84.80000000000003
2016-01-01 02:03:00+00:00,95.80000000000003
2016-01-01 02:04:00+00:00,84.80000000000003
2016-01-01 02:05:00+00:00,84.80000000000003
2016-01-01 02:06:00+00:00,73.80000000000001
2016-01-01 02:07:00+00:00,70.10000000000001
2016-01-01 02:08:00+00:00,55.40000000000001
2016-01-01 02:09:00+00:00,51.70000000000002
2016-01-01 02:10:00+00:00,62.70000000000002
2016-01-01 02:11:00+00:00,73.70000000000002
2016-01-01 02:12:00+00:00,62.70000000000002
2016-01-01 02:13:00+00:00,59.000000000000014
2016-01-01 02:14:00+00:00,62.70000000000002
2016-01-01 02:15:00+00:00,51.70000000000002
2016-01-01 02:16:00+00:00,48.000000000000014
2016-01-01 02:17:00+00:00,44.30000000000001
2016-01-01 02:18:00+00:00,167.99999999999994
2016-01-01 02:19:00+00:00,175.29999999999995
2016-01-01 02:20:00+00:00,175.29999999999995
2016-01-01 02:21:00+00:00,171.59999999999997
2016-01-01 02:22:00+00:00,178.89999999999998
2016-01-01 02:23:00+00:00,175.2
2016-01-01 02:24:00+00:00,55.2
2016-01-01 02:25:00+00:00,175.2
2016-01-01 02:26:00+00:00,44.2
2016-01-01 02:27:00+00:00,40.50000000000001
2016-01-01 02:28:00+00:00,33.2
2016-01-01 02:29:00+00:00,33.2
2016-01-01 02:30:00+00:00,29.5
2016-01-01 02:31:00+00:00,29.5
2016-01-01 02:32:00+00:00,18.5
2016-01-01 02:33:00+00:00,18.5
2016-01-01 02:34:00+00:00,22.2
2016-01-01 02:35:00+00:00,22.2
2016-01-01 02:36:00+00:00,25.9
2016-01-01 02:37:00+00:00,29.599999999999998
